,weights1,weights2,MAP
263,"[(60, 40)]","[(55, 45)]",[0.07335990101361384]
269,"[(60, 40)]","[(85, 15)]",[0.07335990101361384]
272,"[(60, 40)]","[(100, 0)]",[0.07335990101361384]
271,"[(60, 40)]","[(95, 5)]",[0.07335990101361384]
270,"[(60, 40)]","[(90, 10)]",[0.07335990101361384]
264,"[(60, 40)]","[(60, 40)]",[0.07335990101361384]
268,"[(60, 40)]","[(80, 20)]",[0.07335990101361384]
267,"[(60, 40)]","[(75, 25)]",[0.07335990101361384]
266,"[(60, 40)]","[(70, 30)]",[0.07335990101361384]
265,"[(60, 40)]","[(65, 35)]",[0.07335990101361384]
241,"[(55, 45)]","[(50, 50)]",[0.07242583901518354]
232,"[(55, 45)]","[(5, 95)]",[0.07242583901518354]
233,"[(55, 45)]","[(10, 90)]",[0.07242583901518354]
234,"[(55, 45)]","[(15, 85)]",[0.07242583901518354]
235,"[(55, 45)]","[(20, 80)]",[0.07242583901518354]
236,"[(55, 45)]","[(25, 75)]",[0.07242583901518354]
237,"[(55, 45)]","[(30, 70)]",[0.07242583901518354]
238,"[(55, 45)]","[(35, 65)]",[0.07242583901518354]
239,"[(55, 45)]","[(40, 60)]",[0.07242583901518354]
240,"[(55, 45)]","[(45, 55)]",[0.07242583901518354]
231,"[(55, 45)]","[(0, 100)]",[0.07242583901518354]
242,"[(55, 45)]","[(55, 45)]",[0.07242583901518354]
243,"[(55, 45)]","[(60, 40)]",[0.07242583901518354]
245,"[(55, 45)]","[(70, 30)]",[0.07242583901518354]
246,"[(55, 45)]","[(75, 25)]",[0.07242583901518354]
247,"[(55, 45)]","[(80, 20)]",[0.07242583901518354]
248,"[(55, 45)]","[(85, 15)]",[0.07242583901518354]
249,"[(55, 45)]","[(90, 10)]",[0.07242583901518354]
250,"[(55, 45)]","[(95, 5)]",[0.07242583901518354]
251,"[(55, 45)]","[(100, 0)]",[0.07242583901518354]
244,"[(55, 45)]","[(65, 35)]",[0.07242583901518354]
226,"[(50, 50)]","[(80, 20)]",[0.07141632303213602]
223,"[(50, 50)]","[(65, 35)]",[0.07141632303213602]
224,"[(50, 50)]","[(70, 30)]",[0.07141632303213602]
225,"[(50, 50)]","[(75, 25)]",[0.07141632303213602]
221,"[(50, 50)]","[(55, 45)]",[0.07141632303213602]
227,"[(50, 50)]","[(85, 15)]",[0.07141632303213602]
228,"[(50, 50)]","[(90, 10)]",[0.07141632303213602]
229,"[(50, 50)]","[(95, 5)]",[0.07141632303213602]
230,"[(50, 50)]","[(100, 0)]",[0.07141632303213602]
222,"[(50, 50)]","[(60, 40)]",[0.07141632303213602]
220,"[(50, 50)]","[(50, 50)]",[0.07141632303213602]
219,"[(50, 50)]","[(45, 55)]",[0.07141632303213602]
214,"[(50, 50)]","[(20, 80)]",[0.07141632303213602]
