,hparams,epochs,auc,precision
93,"{'no_components': 76, 'learning_schedule': 'adadelta', 'learning_rate': 0.20018915244637558, 'loss': 'warp-kos', 'item_alpha': 1.6900082915359114e-06, 'user_alpha': 1.9074457239873576e-08, 'k': 10}",180.0,0.8199698328971863,0.01051794271916151
138,"{'no_components': 86, 'learning_schedule': 'adadelta', 'learning_rate': 0.08679032289606942, 'loss': 'warp-kos', 'item_alpha': 6.5879013942411704e-06, 'user_alpha': 7.257778166546754e-06, 'k': 10}",149.0,0.8211449384689331,0.010500265285372734
32,"{'no_components': 113, 'learning_schedule': 'adagrad', 'learning_rate': 0.045795775616552216, 'loss': 'warp-kos', 'item_alpha': 8.237573801030381e-07, 'user_alpha': 8.37726748851392e-06, 'k': 10}",102.0,0.8142371773719788,0.010482587851583958
110,"{'no_components': 186, 'learning_schedule': 'adadelta', 'learning_rate': 0.004033348596387557, 'loss': 'warp-kos', 'item_alpha': 2.1389118103052797e-05, 'user_alpha': 6.298189074504283e-06, 'k': 10}",69.0,0.826147198677063,0.010235107503831387
118,"{'no_components': 97, 'learning_schedule': 'adagrad', 'learning_rate': 0.055146573032031854, 'loss': 'warp-kos', 'item_alpha': 2.437048219907027e-05, 'user_alpha': 1.4737412241627589e-06, 'k': 10}",96.0,0.8058578968048096,0.010076012462377548
105,"{'no_components': 40, 'learning_schedule': 'adagrad', 'learning_rate': 0.07903053206843559, 'loss': 'warp-kos', 'item_alpha': 2.996008323903068e-06, 'user_alpha': 2.841428886249378e-06, 'k': 10}",75.0,0.7760170698165894,0.010058335028588772
66,"{'no_components': 91, 'learning_schedule': 'adadelta', 'learning_rate': 0.26796285899323913, 'loss': 'warp-kos', 'item_alpha': 2.7316846955168163e-05, 'user_alpha': 1.5202904648420749e-05, 'k': 10}",172.0,0.8188350796699524,0.00998762622475624
4,"{'no_components': 134, 'learning_schedule': 'adadelta', 'learning_rate': 0.05440760344063379, 'loss': 'warp-kos', 'item_alpha': 4.913647372067999e-07, 'user_alpha': 7.388289124903722e-06, 'k': 10}",99.0,0.8247867226600647,0.009969948790967464
125,"{'no_components': 94, 'learning_schedule': 'adadelta', 'learning_rate': 0.24463522361382983, 'loss': 'warp-kos', 'item_alpha': 4.507011027853045e-07, 'user_alpha': 5.5515723104652e-06, 'k': 10}",165.0,0.8208282589912415,0.009846208617091179
65,"{'no_components': 57, 'learning_schedule': 'adagrad', 'learning_rate': 0.08438781309219581, 'loss': 'warp-kos', 'item_alpha': 8.56015687224183e-06, 'user_alpha': 9.860120131109529e-07, 'k': 10}",185.0,0.7555906176567078,0.009740144945681095
96,"{'no_components': 113, 'learning_schedule': 'adadelta', 'learning_rate': 0.23177595851543203, 'loss': 'warp-kos', 'item_alpha': 1.2837012118984685e-06, 'user_alpha': 1.4699955714086908e-05, 'k': 10}",138.0,0.8188401460647583,0.00961640477180481
72,"{'no_components': 146, 'learning_schedule': 'adagrad', 'learning_rate': 0.04818947110883827, 'loss': 'warp-kos', 'item_alpha': 4.635279061370407e-06, 'user_alpha': 3.5527880020351646e-06, 'k': 10}",84.0,0.8088451027870178,0.009528018534183502
55,"{'no_components': 153, 'learning_schedule': 'adadelta', 'learning_rate': 0.0013431636774935965, 'loss': 'warp-kos', 'item_alpha': 4.652608400230222e-07, 'user_alpha': 1.9395298366250573e-05, 'k': 10}",99.0,0.8202576637268066,0.00949266366660595
53,"{'no_components': 143, 'learning_schedule': 'adadelta', 'learning_rate': 0.016923862691655547, 'loss': 'warp-kos', 'item_alpha': 3.458696260771907e-06, 'user_alpha': 2.259570855563934e-05, 'k': 10}",128.0,0.8183044791221619,0.009333568625152111
117,"{'no_components': 233, 'learning_schedule': 'adagrad', 'learning_rate': 0.0348323295010658, 'loss': 'warp-kos', 'item_alpha': 1.3426165623764632e-06, 'user_alpha': 1.4185801577738075e-05, 'k': 10}",117.0,0.821735143661499,0.009298214688897133
98,"{'no_components': 164, 'learning_schedule': 'adadelta', 'learning_rate': 0.2314295583857734, 'loss': 'warp-kos', 'item_alpha': 1.3430572786474794e-05, 'user_alpha': 9.601827367623275e-07, 'k': 10}",138.0,0.81532222032547,0.008997702039778233
131,"{'no_components': 186, 'learning_schedule': 'adadelta', 'learning_rate': 0.15965011648663444, 'loss': 'warp-kos', 'item_alpha': 3.9066105925266625e-06, 'user_alpha': 1.461297050823712e-07, 'k': 10}",122.0,0.8199431896209717,0.008962348103523254
3,"{'no_components': 83, 'learning_schedule': 'adagrad', 'learning_rate': 0.06725560577258334, 'loss': 'warp-kos', 'item_alpha': 1.7191526623641986e-06, 'user_alpha': 1.2845626017018151e-05, 'k': 10}",111.0,0.7847627997398376,0.008944669738411903
2,"{'no_components': 169, 'learning_schedule': 'adadelta', 'learning_rate': 0.0247803525951565, 'loss': 'warp-kos', 'item_alpha': 1.3176698408180386e-05, 'user_alpha': 6.747015359699672e-06, 'k': 10}",140.0,0.8147721290588379,0.008926993235945702
