,threshold,weights1,weights2,MAP
223,[13],"[(20, 40, 40)]","[[100, 0, 0]]",[0.07488301887021434]
99,[11],"[(30, 30, 40)]","[[100, 0, 0]]",[0.07487969874179103]
221,[13],"[(20, 20, 60)]","[[100, 0, 0]]",[0.07487001644194674]
40,[10],"[(40, 20, 40)]","[[100, 0, 0]]",[0.07486492745082489]
156,[12],"[(20, 30, 50)]","[[100, 0, 0]]",[0.07485833312400365]
155,[12],"[(20, 20, 60)]","[[100, 0, 0]]",[0.07485545411867715]
157,[12],"[(20, 40, 40)]","[[100, 0, 0]]",[0.07485347124989739]
222,[13],"[(20, 30, 50)]","[[100, 0, 0]]",[0.07485014630578062]
109,[11],"[(40, 50, 10)]","[[100, 0, 0]]",[0.07483576998519484]
168,[12],"[(30, 60, 10)]","[[100, 0, 0]]",[0.07482169351808313]
96,[11],"[(30, 0, 70)]","[[100, 0, 0]]",[0.07481447145308068]
49,[10],"[(50, 40, 10)]","[[100, 0, 0]]",[0.0748131457176981]
228,[13],"[(30, 0, 70)]","[[100, 0, 0]]",[0.07480061812238221]
38,[10],"[(40, 0, 60)]","[[100, 0, 0]]",[0.07478973025680319]
220,[13],"[(20, 10, 70)]","[[100, 0, 0]]",[0.07478766518719634]
110,[11],"[(40, 60, 0)]","[[100, 0, 0]]",[0.07478192223602452]
357,[15],"[(20, 60, 20)]","[[100, 0, 0]]",[0.07475833471847149]
351,[15],"[(20, 0, 80)]","[[100, 0, 0]]",[0.07475644103744969]
291,[14],"[(20, 60, 20)]","[[100, 0, 0]]",[0.07475566326118625]
235,[13],"[(30, 70, 0)]","[[100, 0, 0]]",[0.07469858217742202]
48,[10],"[(50, 30, 20)]","[[100, 0, 0]]",[0.07468080884433456]
344,[15],"[(10, 30, 60)]","[[100, 0, 0]]",[0.07468037969088068]
101,[11],"[(30, 50, 20)]","[[100, 0, 0]]",[0.07465329347453366]
100,[11],"[(30, 40, 30)]","[[100, 0, 0]]",[0.0746411421157152]
88,[11],"[(20, 10, 70)]","[[100, 0, 0]]",[0.07463064629769683]
225,[13],"[(20, 60, 20)]","[[100, 0, 0]]",[0.07462085847014018]
30,[10],"[(30, 0, 70)]","[[100, 0, 0]]",[0.0745866025768558]
41,[10],"[(40, 30, 30)]","[[100, 0, 0]]",[0.07458476879972144]
