,topK,weights,MAP
449,[1200],"[array([0.6, 0.2, 0.2])]",[0.0690194876030798]
81,[950],"[array([0.1, 0.4, 0.5])]",[0.06901945361486109]
190,[1000],"[array([0.7, 0.2, 0.1])]",[0.06865580283501721]
124,[950],"[array([0.7, 0.2, 0.1])]",[0.06864826980982591]
454,[1200],"[array([0.7, 0.2, 0.1])]",[0.06864535545229823]
388,[1150],"[array([0.7, 0.2, 0.1])]",[0.06864535545229823]
322,[1100],"[array([0.7, 0.2, 0.1])]",[0.06863524171641701]
58,[900],"[array([0.7, 0.2, 0.1])]",[0.06861194361369556]
256,[1050],"[array([0.7, 0.2, 0.1])]",[0.06859643886198119]
194,[1000],"[array([0.8, 0.2, 0. ])]",[0.06826038462281911]
62,[900],"[array([0.8, 0.2, 0. ])]",[0.06821263885843591]
260,[1050],"[array([0.8, 0.2, 0. ])]",[0.06820721034700031]
128,[950],"[array([0.8, 0.2, 0. ])]",[0.06818824366834843]
392,[1150],"[array([0.8, 0.2, 0. ])]",[0.06818472400876105]
458,[1200],"[array([0.8, 0.2, 0. ])]",[0.06818472400876105]
326,[1100],"[array([0.8, 0.2, 0. ])]",[0.06817889473697811]
423,[1200],"[array([0.2, 0.6, 0.2])]",[0.06808901800069507]
357,[1150],"[array([0.2, 0.6, 0.2])]",[0.06808508973090152]
291,[1100],"[array([0.2, 0.6, 0.2])]",[0.06805697153647863]
225,[1050],"[array([0.2, 0.6, 0.2])]",[0.06804961254432834]
159,[1000],"[array([0.2, 0.6, 0.2])]",[0.06797591294749264]
27,[900],"[array([0.2, 0.6, 0.2])]",[0.06797491476278078]
93,[950],"[array([0.2, 0.6, 0.2])]",[0.06794683055657658]
435,[1200],"[array([0.4, 0.1, 0.5])]",[0.06719717900123327]
303,[1100],"[array([0.4, 0.1, 0.5])]",[0.06719676112151289]
369,[1150],"[array([0.4, 0.1, 0.5])]",[0.06718244798950739]
398,[1200],"[array([0. , 0.2, 0.8])]",[0.06714441422638481]
68,[950],"[array([0. , 0.2, 0.8])]",[0.06714441422638481]
266,[1100],"[array([0. , 0.2, 0.8])]",[0.06714441422638481]
134,[1000],"[array([0. , 0.2, 0.8])]",[0.06714441422638481]
2,[900],"[array([0. , 0.2, 0.8])]",[0.06714441422638481]
200,[1050],"[array([0. , 0.2, 0.8])]",[0.06714441422638481]
332,[1150],"[array([0. , 0.2, 0.8])]",[0.06714441422638481]
105,[950],"[array([0.4, 0.1, 0.5])]",[0.0671419676870413]
237,[1050],"[array([0.4, 0.1, 0.5])]",[0.06713570625547556]
22,[900],"[array([0.2, 0.1, 0.7])]",[0.0671206195226633]
