,threshold,weights1,weights2,MAP
361,[15],"[[100, 0, 0]]","[(30, 10, 60)]",[0.07140614919751277]
360,[15],"[[100, 0, 0]]","[(30, 0, 70)]",[0.07133926556074731]
99,[11],"[[100, 0, 0]]","[(30, 30, 40)]",[0.0713379718372004]
164,[12],"[[100, 0, 0]]","[(30, 20, 50)]",[0.07129882141773738]
296,[14],"[[100, 0, 0]]","[(30, 20, 50)]",[0.07124485068744486]
231,[13],"[[100, 0, 0]]","[(30, 30, 40)]",[0.07115949151709718]
362,[15],"[[100, 0, 0]]","[(30, 20, 50)]",[0.07108487423835758]
165,[12],"[[100, 0, 0]]","[(30, 30, 40)]",[0.0710271558406979]
242,[13],"[[100, 0, 0]]","[(40, 60, 0)]",[0.07101236887785047]
176,[12],"[[100, 0, 0]]","[(40, 60, 0)]",[0.07100121038699553]
100,[11],"[[100, 0, 0]]","[(30, 40, 30)]",[0.07095627178224469]
297,[14],"[[100, 0, 0]]","[(30, 30, 40)]",[0.07087109393806937]
374,[15],"[[100, 0, 0]]","[(40, 60, 0)]",[0.07078741597366323]
308,[14],"[[100, 0, 0]]","[(40, 60, 0)]",[0.07076267722698709]
23,[10],"[[100, 0, 0]]","[(20, 20, 60)]",[0.07075436272329381]
363,[15],"[[100, 0, 0]]","[(30, 30, 40)]",[0.07074822794725215]
35,[10],"[[100, 0, 0]]","[(30, 50, 20)]",[0.07069031422172167]
232,[13],"[[100, 0, 0]]","[(30, 40, 30)]",[0.07062427411074663]
166,[12],"[[100, 0, 0]]","[(30, 40, 30)]",[0.07057667599051728]
298,[14],"[[100, 0, 0]]","[(30, 40, 30)]",[0.0703250119930253]
364,[15],"[[100, 0, 0]]","[(30, 40, 30)]",[0.07030955612199224]
24,[10],"[[100, 0, 0]]","[(20, 30, 50)]",[0.07025094659833418]
22,[10],"[[100, 0, 0]]","[(20, 10, 70)]",[0.07013155709288077]
21,[10],"[[100, 0, 0]]","[(20, 0, 80)]",[0.07006239549388249]
89,[11],"[[100, 0, 0]]","[(20, 20, 60)]",[0.06993758824967199]
101,[11],"[[100, 0, 0]]","[(30, 50, 20)]",[0.06985667090247266]
36,[10],"[[100, 0, 0]]","[(30, 60, 10)]",[0.06981438020543056]
155,[12],"[[100, 0, 0]]","[(20, 20, 60)]",[0.06959531686662307]
221,[13],"[[100, 0, 0]]","[(20, 20, 60)]",[0.06958075454335345]
37,[10],"[[100, 0, 0]]","[(30, 70, 0)]",[0.06953689704788733]
87,[11],"[[100, 0, 0]]","[(20, 0, 80)]",[0.06950074059799567]
25,[10],"[[100, 0, 0]]","[(20, 40, 40)]",[0.06946005494656228]
167,[12],"[[100, 0, 0]]","[(30, 50, 20)]",[0.06941134824254233]
233,[13],"[[100, 0, 0]]","[(30, 50, 20)]",[0.06939368773029862]
90,[11],"[[100, 0, 0]]","[(20, 30, 50)]",[0.06937861934166009]
88,[11],"[[100, 0, 0]]","[(20, 10, 70)]",[0.0693393635336666]
219,[13],"[[100, 0, 0]]","[(20, 0, 80)]",[0.06931002243144477]
287,[14],"[[100, 0, 0]]","[(20, 20, 60)]",[0.0692845316014829]
220,[13],"[[100, 0, 0]]","[(20, 10, 70)]",[0.06918234464416707]
153,[12],"[[100, 0, 0]]","[(20, 0, 80)]",[0.06917239937405102]
299,[14],"[[100, 0, 0]]","[(30, 50, 20)]",[0.069170637164247]
365,[15],"[[100, 0, 0]]","[(30, 50, 20)]",[0.06915201462674771]
353,[15],"[[100, 0, 0]]","[(20, 20, 60)]",[0.06911858207787913]
285,[14],"[[100, 0, 0]]","[(20, 0, 80)]",[0.06911258144534752]
154,[12],"[[100, 0, 0]]","[(20, 10, 70)]",[0.06906697009099105]
222,[13],"[[100, 0, 0]]","[(20, 30, 50)]",[0.06905954053362005]
156,[12],"[[100, 0, 0]]","[(20, 30, 50)]",[0.06905135371539702]
102,[11],"[[100, 0, 0]]","[(30, 60, 10)]",[0.0689772996501122]
286,[14],"[[100, 0, 0]]","[(20, 10, 70)]",[0.068971392046759]
352,[15],"[[100, 0, 0]]","[(20, 10, 70)]",[0.06874162684505639]
351,[15],"[[100, 0, 0]]","[(20, 0, 80)]",[0.06872890406105145]
288,[14],"[[100, 0, 0]]","[(20, 30, 50)]",[0.06871439114735432]
103,[11],"[[100, 0, 0]]","[(30, 70, 0)]",[0.06868320903053991]
354,[15],"[[100, 0, 0]]","[(20, 30, 50)]",[0.06859848497501364]
91,[11],"[[100, 0, 0]]","[(20, 40, 40)]",[0.0685898413061398]
168,[12],"[[100, 0, 0]]","[(30, 60, 10)]",[0.06847277185152394]
234,[13],"[[100, 0, 0]]","[(30, 60, 10)]",[0.06836374399274228]
26,[10],"[[100, 0, 0]]","[(20, 50, 30)]",[0.0683573564902165]
12,[10],"[[100, 0, 0]]","[(10, 10, 80)]",[0.06816835966966542]
27,[10],"[[100, 0, 0]]","[(20, 60, 20)]",[0.06816204587787089]
157,[12],"[[100, 0, 0]]","[(20, 40, 40)]",[0.06815457498347732]
366,[15],"[[100, 0, 0]]","[(30, 60, 10)]",[0.06815010490640441]
169,[12],"[[100, 0, 0]]","[(30, 70, 0)]",[0.06814187123955565]
223,[13],"[[100, 0, 0]]","[(20, 40, 40)]",[0.06812502736316037]
300,[14],"[[100, 0, 0]]","[(30, 60, 10)]",[0.06810018314444448]
235,[13],"[[100, 0, 0]]","[(30, 70, 0)]",[0.06796001840296405]
289,[14],"[[100, 0, 0]]","[(20, 40, 40)]",[0.0677702410225116]
355,[15],"[[100, 0, 0]]","[(20, 40, 40)]",[0.06772968564533156]
367,[15],"[[100, 0, 0]]","[(30, 70, 0)]",[0.06767210562231155]
301,[14],"[[100, 0, 0]]","[(30, 70, 0)]",[0.06759755033518777]
92,[11],"[[100, 0, 0]]","[(20, 50, 30)]",[0.06746582380226848]
28,[10],"[[100, 0, 0]]","[(20, 70, 10)]",[0.06743441573756613]
13,[10],"[[100, 0, 0]]","[(10, 20, 70)]",[0.06730130545825057]
78,[11],"[[100, 0, 0]]","[(10, 10, 80)]",[0.06722251764971167]
14,[10],"[[100, 0, 0]]","[(10, 30, 60)]",[0.06717474599749605]
93,[11],"[[100, 0, 0]]","[(20, 60, 20)]",[0.06712810171862685]
158,[12],"[[100, 0, 0]]","[(20, 50, 30)]",[0.06692548093913969]
29,[10],"[[100, 0, 0]]","[(20, 80, 0)]",[0.06690354631793058]
15,[10],"[[100, 0, 0]]","[(10, 40, 50)]",[0.06683878423078475]
144,[12],"[[100, 0, 0]]","[(10, 10, 80)]",[0.06678283202353141]
210,[13],"[[100, 0, 0]]","[(10, 10, 80)]",[0.06675972421029634]
224,[13],"[[100, 0, 0]]","[(20, 50, 30)]",[0.06674821108397393]
16,[10],"[[100, 0, 0]]","[(10, 50, 40)]",[0.06663117692588655]
11,[10],"[[100, 0, 0]]","[(10, 0, 90)]",[0.0666152405432805]
159,[12],"[[100, 0, 0]]","[(20, 60, 20)]",[0.06657314008005198]
276,[14],"[[100, 0, 0]]","[(10, 10, 80)]",[0.06646373409189907]
94,[11],"[[100, 0, 0]]","[(20, 70, 10)]",[0.06639402383787225]
356,[15],"[[100, 0, 0]]","[(20, 50, 30)]",[0.06638714468922195]
290,[14],"[[100, 0, 0]]","[(20, 50, 30)]",[0.06637933909020823]
225,[13],"[[100, 0, 0]]","[(20, 60, 20)]",[0.06637535202998229]
79,[11],"[[100, 0, 0]]","[(10, 20, 70)]",[0.06636938190612196]
291,[14],"[[100, 0, 0]]","[(20, 60, 20)]",[0.06624054723893617]
357,[15],"[[100, 0, 0]]","[(20, 60, 20)]",[0.06623787578165097]
342,[15],"[[100, 0, 0]]","[(10, 10, 80)]",[0.0661642269026977]
80,[11],"[[100, 0, 0]]","[(10, 30, 60)]",[0.0661556263802111]
17,[10],"[[100, 0, 0]]","[(10, 60, 30)]",[0.06614271879048658]
145,[12],"[[100, 0, 0]]","[(10, 20, 70)]",[0.0659366601068568]
211,[13],"[[100, 0, 0]]","[(10, 20, 70)]",[0.06587388378347413]
95,[11],"[[100, 0, 0]]","[(20, 80, 0)]",[0.06584358238185235]
160,[12],"[[100, 0, 0]]","[(20, 70, 10)]",[0.06583060873640062]
81,[11],"[[100, 0, 0]]","[(10, 40, 50)]",[0.06577729541786914]
146,[12],"[[100, 0, 0]]","[(10, 30, 60)]",[0.0657496366907167]
18,[10],"[[100, 0, 0]]","[(10, 70, 20)]",[0.06567341097033019]
212,[13],"[[100, 0, 0]]","[(10, 30, 60)]",[0.06563721426903459]
77,[11],"[[100, 0, 0]]","[(10, 0, 90)]",[0.0656371715123566]
277,[14],"[[100, 0, 0]]","[(10, 20, 70)]",[0.06552766703909499]
226,[13],"[[100, 0, 0]]","[(20, 70, 10)]",[0.06552237317222424]
82,[11],"[[100, 0, 0]]","[(10, 50, 40)]",[0.06550792893087412]
20,[10],"[[100, 0, 0]]","[(10, 90, 0)]",[0.06548716538612631]
19,[10],"[[100, 0, 0]]","[(10, 80, 10)]",[0.06538309195741086]
278,[14],"[[100, 0, 0]]","[(10, 30, 60)]",[0.06535065027228643]
147,[12],"[[100, 0, 0]]","[(10, 40, 50)]",[0.06534924261444067]
358,[15],"[[100, 0, 0]]","[(20, 70, 10)]",[0.0652856214291214]
343,[15],"[[100, 0, 0]]","[(10, 20, 70)]",[0.0652783849170383]
161,[12],"[[100, 0, 0]]","[(20, 80, 0)]",[0.06526977139496275]
209,[13],"[[100, 0, 0]]","[(10, 0, 90)]",[0.06524178497795768]
292,[14],"[[100, 0, 0]]","[(20, 70, 10)]",[0.06522982830677351]
143,[12],"[[100, 0, 0]]","[(10, 0, 90)]",[0.0652133233939644]
344,[15],"[[100, 0, 0]]","[(10, 30, 60)]",[0.06518849740807668]
213,[13],"[[100, 0, 0]]","[(10, 40, 50)]",[0.06512583487981105]
83,[11],"[[100, 0, 0]]","[(10, 60, 30)]",[0.06502060484955147]
148,[12],"[[100, 0, 0]]","[(10, 50, 40)]",[0.06497902130787953]
227,[13],"[[100, 0, 0]]","[(20, 80, 0)]",[0.0649351252311921]
275,[14],"[[100, 0, 0]]","[(10, 0, 90)]",[0.06487380107602511]
279,[14],"[[100, 0, 0]]","[(10, 40, 50)]",[0.06481674195516388]
5,[10],"[[100, 0, 0]]","[(0, 50, 50)]",[0.06468991417955293]
345,[15],"[[100, 0, 0]]","[(10, 40, 50)]",[0.06468803617041247]
214,[13],"[[100, 0, 0]]","[(10, 50, 40)]",[0.06467377871116489]
293,[14],"[[100, 0, 0]]","[(20, 80, 0)]",[0.06467214761070549]
359,[15],"[[100, 0, 0]]","[(20, 80, 0)]",[0.06466013131399767]
6,[10],"[[100, 0, 0]]","[(0, 60, 40)]",[0.06457191292998904]
84,[11],"[[100, 0, 0]]","[(10, 70, 20)]",[0.0645315270763566]
4,[10],"[[100, 0, 0]]","[(0, 40, 60)]",[0.06449559760429875]
341,[15],"[[100, 0, 0]]","[(10, 0, 90)]",[0.06442850129759824]
149,[12],"[[100, 0, 0]]","[(10, 60, 30)]",[0.06439666466400619]
