,Unnamed: 0,topK,weights,MAP
254,,[1000],"[array([0.6, 0.4, 0. ])]",[0.0721934375970514]
255,,[1000],"[array([0.7, 0. , 0.3])]",[0.06215703849744466]
256,,[1000],"[array([0.7, 0.1, 0.2])]",[0.0665223246589831]
257,,[1000],"[array([0.7, 0.2, 0.1])]",[0.06833665376795661]
258,,[1000],"[array([0.7, 0.3, 0. ])]",[0.07054793111569585]
259,,[1000],"[array([0.8, 0. , 0.2])]",[0.06179053348665146]
260,,[1000],"[array([0.8, 0.1, 0.1])]",[0.06635865098204727]
261,,[1000],"[array([0.8, 0.2, 0. ])]",[0.06828641166494809]
262,,[1000],"[array([0.9, 0. , 0.1])]",[0.062034940874194845]
263,,[1000],"[array([0.9, 0.1, 0. ])]",[0.06613972888502644]
264,,[1000],"[array([1., 0., 0.])]",[0.062023946478793675]
265,,[1100],"[array([0., 0., 1.])]",[0.051092216918389846]
266,,[1100],"[array([0. , 0.1, 0.9])]",[0.06300186126834204]
267,,[1100],"[array([0. , 0.2, 0.8])]",[0.0658611511453911]
268,,[1100],"[array([0. , 0.3, 0.7])]",[0.061208878597890884]
269,,[1100],"[array([0. , 0.4, 0.6])]",[0.05541059321416771]
270,,[1100],"[array([0. , 0.5, 0.5])]",[0.04905419970677819]
271,,[1100],"[array([0. , 0.6, 0.4])]",[0.043715177831259174]
272,,[1100],"[array([0. , 0.7, 0.3])]",[0.040409378601609806]
273,,[1100],"[array([0. , 0.8, 0.2])]",[0.037687898925929914]
274,,[1100],"[array([0. , 0.9, 0.1])]",[0.03589458528093334]
275,,[1100],"[array([0., 1., 0.])]",[0.03487704061813146]
276,,[1100],"[array([0.1, 0. , 0.9])]",[0.0570849379892326]
277,,[1100],"[array([0.1, 0.1, 0.8])]",[0.06678219749327373]
278,,[1100],"[array([0.1, 0.2, 0.7])]",[0.07090573369501907]
279,,[1100],"[array([0.1, 0.3, 0.6])]",[0.07134909984722045]
280,,[1100],"[array([0.1, 0.4, 0.5])]",[0.06900444315372711]
281,,[1100],"[array([0.1, 0.5, 0.4])]",[0.06393276993393147]
282,,[1100],"[array([0.1, 0.6, 0.3])]",[0.05836583350268974]
283,,[1100],"[array([0.1, 0.7, 0.2])]",[0.052716992896779565]
284,,[1100],"[array([0.1, 0.8, 0.1])]",[0.04785159386985924]
285,,[1100],"[array([0.1, 0.9, 0. ])]",[0.04478581529279878]
286,,[1100],"[array([0.2, 0. , 0.8])]",[0.06006758970651678]
287,,[1100],"[array([0.2, 0.1, 0.7])]",[0.06695781954615289]
288,,[1100],"[array([0.2, 0.2, 0.6])]",[0.07109860773344487]
289,,[1100],"[array([0.2, 0.3, 0.5])]",[0.07355905335245075]
290,,[1100],"[array([0.2, 0.4, 0.4])]",[0.07306297765277685]
291,,[1100],"[array([0.2, 0.5, 0.3])]",[0.0709994296659995]
292,,[1100],"[array([0.2, 0.6, 0.2])]",[0.06776869084240576]
293,,[1100],"[array([0.2, 0.7, 0.1])]",[0.0635365305763915]
294,,[1100],"[array([0.2, 0.8, 0. ])]",[0.05958895299718286]
295,,[1100],"[array([0.3, 0. , 0.7])]",[0.06017010449286714]
296,,[1100],"[array([0.3, 0.1, 0.6])]",[0.06666773388559806]
297,,[1100],"[array([0.3, 0.2, 0.5])]",[0.07028204030680933]
298,,[1100],"[array([0.3, 0.3, 0.4])]",[0.07281502624881453]
299,,[1100],"[array([0.3, 0.4, 0.3])]",[0.07405120044829479]
300,,[1100],"[array([0.3, 0.5, 0.2])]",[0.07315199700075248]
301,,[1100],"[array([0.3, 0.6, 0.1])]",[0.07097070385909737]
302,,[1100],"[array([0.3, 0.7, 0. ])]",[0.068946049751715]
303,,[1100],"[array([0.4, 0. , 0.6])]",[0.061001337543574355]
304,,[1100],"[array([0.4, 0.1, 0.5])]",[0.06640756375878042]
305,,[1100],"[array([0.4, 0.2, 0.4])]",[0.06967300942499696]
306,,[1100],"[array([0.4, 0.3, 0.3])]",[0.07159163665793664]
307,,[1100],"[array([0.4, 0.4, 0.2])]",[0.074266884144501]
308,,[1100],"[array([0.4, 0.5, 0.1])]",[0.07370513989383777]
309,,[1100],"[array([0.4, 0.6, 0. ])]",[0.07318460047091117]
310,,[1100],"[array([0.5, 0. , 0.5])]",[0.06199036628577129]
311,,[1100],"[array([0.5, 0.1, 0.4])]",[0.06644911977027361]
312,,[1100],"[array([0.5, 0.2, 0.3])]",[0.0693099359994883]
313,,[1100],"[array([0.5, 0.3, 0.2])]",[0.07144534153856248]
314,,[1100],"[array([0.5, 0.4, 0.1])]",[0.07322674717036522]
315,,[1100],"[array([0.5, 0.5, 0. ])]",[0.0744272517782212]
316,,[1100],"[array([0.6, 0. , 0.4])]",[0.06206754740635523]
317,,[1100],"[array([0.6, 0.1, 0.3])]",[0.06646923842963091]
318,,[1100],"[array([0.6, 0.2, 0.2])]",[0.06847352763704811]
319,,[1100],"[array([0.6, 0.3, 0.1])]",[0.07094008345257324]
320,,[1100],"[array([0.6, 0.4, 0. ])]",[0.07208411673254518]
321,,[1100],"[array([0.7, 0. , 0.3])]",[0.06214746269958611]
322,,[1100],"[array([0.7, 0.1, 0.2])]",[0.06648742234930743]
323,,[1100],"[array([0.7, 0.2, 0.1])]",[0.06821590782359452]
324,,[1100],"[array([0.7, 0.3, 0. ])]",[0.07025516634285157]
325,,[1100],"[array([0.8, 0. , 0.2])]",[0.0619318611485342]
326,,[1100],"[array([0.8, 0.1, 0.1])]",[0.06629048380984973]
327,,[1100],"[array([0.8, 0.2, 0. ])]",[0.06803268591037841]
328,,[1100],"[array([0.9, 0. , 0.1])]",[0.06186566646214706]
329,,[1100],"[array([0.9, 0.1, 0. ])]",[0.06601206860683108]
330,,[1100],"[array([1., 0., 0.])]",[0.06170039742666254]
331,,[1200],"[array([0., 0., 1.])]",[0.05112187307274825]
332,,[1200],"[array([0. , 0.1, 0.9])]",[0.06304655535834024]
333,,[1200],"[array([0. , 0.2, 0.8])]",[0.06574837586976978]
334,,[1200],"[array([0. , 0.3, 0.7])]",[0.06100108840798304]
335,,[1200],"[array([0. , 0.4, 0.6])]",[0.05530981333013367]
336,,[1200],"[array([0. , 0.5, 0.5])]",[0.04896943790512224]
337,,[1200],"[array([0. , 0.6, 0.4])]",[0.043982156290979256]
338,,[1200],"[array([0. , 0.7, 0.3])]",[0.040425486929528465]
339,,[1200],"[array([0. , 0.8, 0.2])]",[0.037715984969335176]
340,,[1200],"[array([0. , 0.9, 0.1])]",[0.03626467060678353]
341,,[1200],"[array([0., 1., 0.])]",[0.03509137305299554]
342,,[1200],"[array([0.1, 0. , 0.9])]",[0.05720919549279577]
343,,[1200],"[array([0.1, 0.1, 0.8])]",[0.06683572673859654]
344,,[1200],"[array([0.1, 0.2, 0.7])]",[0.07099753860159728]
345,,[1200],"[array([0.1, 0.3, 0.6])]",[0.07123340283743106]
346,,[1200],"[array([0.1, 0.4, 0.5])]",[0.06909015322946738]
347,,[1200],"[array([0.1, 0.5, 0.4])]",[0.06377288400874843]
348,,[1200],"[array([0.1, 0.6, 0.3])]",[0.05847561085597383]
349,,[1200],"[array([0.1, 0.7, 0.2])]",[0.05273161105982532]
350,,[1200],"[array([0.1, 0.8, 0.1])]",[0.04784364894976901]
351,,[1200],"[array([0.1, 0.9, 0. ])]",[0.04477919766692839]
352,,[1200],"[array([0.2, 0. , 0.8])]",[0.059992765325117874]
353,,[1200],"[array([0.2, 0.1, 0.7])]",[0.0670479557174875]
354,,[1200],"[array([0.2, 0.2, 0.6])]",[0.07098982486263407]
355,,[1200],"[array([0.2, 0.3, 0.5])]",[0.07339967981149456]
356,,[1200],"[array([0.2, 0.4, 0.4])]",[0.07291133368968337]
357,,[1200],"[array([0.2, 0.5, 0.3])]",[0.07079591238809263]
358,,[1200],"[array([0.2, 0.6, 0.2])]",[0.06757882811561554]
359,,[1200],"[array([0.2, 0.7, 0.1])]",[0.06351484634341087]
360,,[1200],"[array([0.2, 0.8, 0. ])]",[0.05949765565913789]
361,,[1200],"[array([0.3, 0. , 0.7])]",[0.0603680214253712]
362,,[1200],"[array([0.3, 0.1, 0.6])]",[0.06662387897891525]
363,,[1200],"[array([0.3, 0.2, 0.5])]",[0.07035328782486211]
364,,[1200],"[array([0.3, 0.3, 0.4])]",[0.07266197234529238]
365,,[1200],"[array([0.3, 0.4, 0.3])]",[0.07397431394794537]
