,topK,weights,MAP
815,[1300],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
947,[1400],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
683,[1200],"[array([0.2, 0.2, 0.6])]",[0.0736473608963812]
23,[700],"[array([0.2, 0.2, 0.6])]",[0.07364623062805147]
353,[950],"[array([0.2, 0.2, 0.6])]",[0.07364037897581982]
221,[850],"[array([0.2, 0.2, 0.6])]",[0.07363527528708987]
238,[850],"[array([0.4, 0.2, 0.4])]",[0.07362332877618395]
419,[1000],"[array([0.2, 0.2, 0.6])]",[0.07360713120483459]
287,[900],"[array([0.2, 0.2, 0.6])]",[0.07355870704006061]
47,[700],"[array([0.5, 0.2, 0.3])]",[0.07298346440036682]
179,[800],"[array([0.5, 0.2, 0.3])]",[0.07294074257348791]
377,[950],"[array([0.5, 0.2, 0.3])]",[0.07293801374542573]
245,[850],"[array([0.5, 0.2, 0.3])]",[0.07291129441255284]
311,[900],"[array([0.5, 0.2, 0.3])]",[0.0729047345193323]
628,[1150],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
760,[1250],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
826,[1300],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
694,[1200],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
1090,[1500],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
892,[1350],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
562,[1100],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
1024,[1450],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
958,[1400],"[array([0.3, 0.4, 0.3])]",[0.07289653069308173]
496,[1050],"[array([0.3, 0.4, 0.3])]",[0.07289505759190915]
486,[1050],"[array([0.2, 0.3, 0.5])]",[0.0728844276860535]
948,[1400],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
750,[1250],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
684,[1200],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
618,[1150],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
1080,[1500],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
816,[1300],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
1014,[1450],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
882,[1350],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
552,[1100],"[array([0.2, 0.3, 0.5])]",[0.07288402784430664]
430,[1000],"[array([0.3, 0.4, 0.3])]",[0.07288202473847942]
354,[950],"[array([0.2, 0.3, 0.5])]",[0.07286689132405977]
420,[1000],"[array([0.2, 0.3, 0.5])]",[0.07286446131952534]
443,[1000],"[array([0.5, 0.2, 0.3])]",[0.07286363839265532]
839,[1300],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
707,[1200],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
1037,[1450],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
905,[1350],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
509,[1050],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
641,[1150],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
773,[1250],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
971,[1400],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
575,[1100],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
1103,[1500],"[array([0.5, 0.2, 0.3])]",[0.07285795643098962]
364,[950],"[array([0.3, 0.4, 0.3])]",[0.07283994314831582]
232,[850],"[array([0.3, 0.4, 0.3])]",[0.07283480536002165]
298,[900],"[array([0.3, 0.4, 0.3])]",[0.0728254336863298]
222,[850],"[array([0.2, 0.3, 0.5])]",[0.07282110777386322]
288,[900],"[array([0.2, 0.3, 0.5])]",[0.07279625854459916]
113,[750],"[array([0.5, 0.2, 0.3])]",[0.07278867151683277]
166,[800],"[array([0.3, 0.4, 0.3])]",[0.07272123095763416]
156,[800],"[array([0.2, 0.3, 0.5])]",[0.07270369470698596]
90,[750],"[array([0.2, 0.3, 0.5])]",[0.0726946261992969]
100,[750],"[array([0.3, 0.4, 0.3])]",[0.0726927059902061]
34,[700],"[array([0.3, 0.4, 0.3])]",[0.07261671868840502]
211,[850],"[array([0.1, 0.2, 0.7])]",[0.07256492701769092]
24,[700],"[array([0.2, 0.3, 0.5])]",[0.07254004115575213]
343,[950],"[array([0.1, 0.2, 0.7])]",[0.0725357630383483]
79,[750],"[array([0.1, 0.2, 0.7])]",[0.07252713359386405]
805,[1300],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
541,[1100],"[array([0.1, 0.2, 0.7])]",[0.0725254602656178]
